_startofquery
"Current Time: 10/07/2022 20:49:40"
"Servername: LAPTOP-L0P7GP6U"
"Sample StartDate: 05/06/2022 10:00:51"
"Sample EndDate: 05/06/2022 10:31:51"
"Number of Data Samples:  9672"
Tagname:  	Date/Time: 	Value: 	Quality: 	Comments:
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:00:52 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:00:53 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:00:54 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:00:55 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:00:56 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:00:57 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:00:58 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:00:59 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:00 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:01 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:02 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:03 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:04 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:05 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:06 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:07 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:08 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:09 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:10 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:11 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:12 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:13 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:14 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:15 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:16 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:17 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:18 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:19 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:20 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:21 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:22 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:23 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:24 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:25 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:26 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:27 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:28 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:29 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:30 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:31 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:32 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:33 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:34 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:35 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:36 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:37 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:38 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:39 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:40 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:41 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:42 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:43 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:44 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:45 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:46 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:47 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:48 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:49 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:50 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:51 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:52 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:53 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:54 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:55 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:56 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:57 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:58 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:01:59 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:00 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:01 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:02 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:03 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:04 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:05 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:06 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:07 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:08 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:09 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:10 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:11 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:12 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:13 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:14 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:15 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:16 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:17 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:18 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:19 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:20 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:21 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:22 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:23 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:24 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:25 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:26 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:27 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:28 	250 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:02:29 	250 	Good 	
